cd_material,ds_material,classe,tipo,classificacao
55983,"DISCO DE ESTADO SÓLIDO - SSD 2.5', 256GB SATA, LEITURA 545MB/S, GRAVAÇÃO 430MB/S",Equipamentos de Informática,Equipamentos de Informática,SSD
53479,HD: 1TB,Equipamentos de Informática,Equipamentos de Informática,SSD
65536,RECEPTOR SMART TV BOX AQUARIO STV-3000 PADRAO 4K 8GB,Equipamentos de Informática,Equipamentos de Informática,Tablet
65384,TABLET LENOVO TAB M9 OCTA-CORE 64 GB WI-FI - PRATA ZAC30198BR,Equipamentos de Informática,Equipamentos de Informática,Tablet
65294,TABLET SAMSUNG GALAXY 11 A9 ,Equipamentos de Informática,Equipamentos de Informática,Tablet
64330,Xiaomi MI TV Box S 2ª Geração,Materiais de Informática,Materiais de Informática,Tablet
53006,TECLADO HP USB BUSINESS SLIM BRZL  - 2ZZ25AV#AC4,Materiais de Informática,Materiais de Informática,Teclado
56699,TECLADO LOGITECH MK120,Materiais de Informática,Materiais de Informática,Teclado
59718,TECLADO E MOUSE SEM FIO,Materiais de Informática,Materiais de Informática,Teclado
62971,Teclado para Dell Inspiron P74g P74g001 Br Com Led,Materiais de Informática,Materiais de Informática,Teclado
54853,TECLADO ALFANUMERICO 107 TECLAS PADRAO PTBR,Materiais de Informática,Materiais de Informática,Teclado
56117,KIT WIRELESS COMBO TECLADO E MOUSE S/FIO LOGITECH MK235 COM CONEXÃO USB,Equipamentos de Informática,Equipamentos de Informática,Teclado
53848,TELEFONE IP FANVIL X1P 1 LINHA,Equipamentos de Informática,Equipamentos de Informática,Telefonia
53706,TELEFONE IP YEALINK SIP T19P/E2 LINHA COM DISPLAY,Equipamentos de Informática,Equipamentos de Informática,Telefonia
